HTML
<p>Question1</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question2</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p><u>Question3</u></p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
POOL,50%
<p>Question P2 Q1</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question P2 Q2</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question P3 Q3</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
END
GROUP,
<p>Question G1 Q1</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question G2 Q2</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
END
POOL,50%
<p>Question P1</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question P2</p>,1,one,
,<p>Choice 1</p>
,Choice 2
*,<p>Choice 3</p>
,Choice 4
GROUP,
<p>Question P1 G1 Q1</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question P1 G1 Q2</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question P1 G1 Q3</p>,1,one,
,Choice 1
,Choice 2
*,<p>Choice 3</p>
,Choice 4
POOL,50%
<p>Question P1 G1 P3 Q1</p>,1,one,
,Choice 1
,Choice 2
*,<p>Choice 3</p>
,Choice 4
<p>Question P1 G1 P3 Q2</p>,1,one,
,Choice 1
,<p>Choice 2</p>
*,Choice 3
,<p>Choice 4</p>
<p>Question P1 G1 P3 G3</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
END
END
END
<p>Question 4</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question 5</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question 6</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
<p>Question 7</p>,1,one,
,Choice 1
,Choice 2
*,Choice 3
,Choice 4
